,Precinct,Opponent 2020,Rebecca Keller Smondrowski 2020,Rebecca Keller Smondrowski Percentage 2020
0,1001,1082,390,0.264945652173913
1,1002,1032,432,0.29508196721311475
2,1003,1756,781,0.3078439101300749
3,1004,1202,522,0.302784222737819
4,1005,1187,485,0.2900717703349282
5,1006,798,320,0.28622540250447226
6,1007,161,60,0.27149321266968324
7,2001,1865,781,0.29516250944822375
8,2002,1414,607,0.30034636318654134
9,2003,1415,707,0.33317624882186614
10,2004,1778,817,0.31483622350674373
11,2005,1361,613,0.3105369807497467
12,2006,1908,826,0.302121433796635
13,2007,75,21,0.21875
14,2008,1516,595,0.2818569398389389
15,2009,167,68,0.28936170212765955
16,2010,702,309,0.3056379821958457
17,2011,1754,636,0.26610878661087867
18,3001,1647,617,0.27252650176678445
19,3002,1430,497,0.25791385573430203
20,4001,1591,743,0.318337617823479
21,4002,1125,546,0.3267504488330341
22,4003,1398,722,0.34056603773584904
23,4004,904,484,0.34870317002881845
24,4005,1095,481,0.3052030456852792
25,4006,1163,534,0.3146729522687095
26,4007,1012,485,0.3239812959251837
27,4008,1393,773,0.35687903970452445
28,4009,759,388,0.33827375762859635
29,4010,924,510,0.35564853556485354
30,4011,161,81,0.3347107438016529
31,4012,1276,573,0.30989724175229855
32,4013,939,522,0.35728952772073924
33,4014,1408,666,0.32111861137897785
34,4015,634,306,0.32553191489361705
35,4016,1474,696,0.3207373271889401
36,4017,852,476,0.35843373493975905
37,4018,1112,495,0.3080273802115744
38,4019,728,353,0.3265494912118409
39,4020,1268,556,0.3048245614035088
40,4021,1027,553,0.35
41,4023,110,33,0.23076923076923078
42,4024,1004,399,0.2843905915894512
43,4025,605,339,0.3591101694915254
44,4026,1018,507,0.3324590163934426
45,4027,236,119,0.3352112676056338
46,4028,529,292,0.3556638246041413
47,4029,478,201,0.2960235640648012
48,4030,908,492,0.3514285714285714
49,4031,1034,547,0.3459835547122075
50,4032,427,229,0.3490853658536585
51,4033,89,43,0.32575757575757575
52,4034,912,435,0.32293986636971045
53,4035,115,68,0.37158469945355194
54,4036,0,0,X
55,4037,259,132,0.3375959079283887
56,4038,37,23,0.38333333333333336
57,4040,45,26,0.36619718309859156
58,4041,0,0,X
59,4042,3,1,0.25
60,4043,9,3,0.25
61,5001,1365,650,0.3225806451612903
62,5002,1181,544,0.3153623188405797
63,5003,1664,824,0.3311897106109325
64,5004,765,395,0.34051724137931033
65,5005,959,442,0.31548893647394716
66,5006,1421,651,0.3141891891891892
67,5008,1313,506,0.27817482133040133
68,5009,1521,716,0.32007152436298614
69,5010,855,332,0.2796967144060657
70,5011,1046,465,0.30774321641297153
71,5012,1818,860,0.32113517550410753
72,5013,1731,729,0.29634146341463413
73,5014,917,385,0.2956989247311828
74,5015,1108,509,0.3147804576376005
75,5016,1344,645,0.32428355957767724
76,5017,1138,512,0.3103030303030303
77,5018,674,272,0.28752642706131076
78,5019,903,422,0.31849056603773584
79,5021,1324,588,0.3075313807531381
80,5022,538,277,0.3398773006134969
81,5023,1515,637,0.29600371747211895
82,6001,1044,391,0.2724738675958188
83,6002,1403,575,0.29069767441860467
84,6003,1077,561,0.3424908424908425
85,6004,1129,542,0.3243566726511071
86,6005,1773,861,0.32687927107061504
87,6006,1524,610,0.2858481724461106
88,6007,1663,728,0.30447511501463825
89,6008,964,428,0.3074712643678161
90,6009,1388,423,0.23357261181667588
91,6010,1188,527,0.30728862973760934
92,6011,20,8,0.2857142857142857
93,6013,777,428,0.35518672199170126
94,6014,645,241,0.27200902934537247
95,6015,1474,622,0.2967557251908397
96,6016,0,0,X
97,7001,504,315,0.38461538461538464
98,7002,784,424,0.3509933774834437
99,7003,1172,645,0.3549807374793616
100,7004,1144,660,0.36585365853658536
101,7005,728,433,0.37295434969853575
102,7006,525,266,0.336283185840708
103,7007,698,425,0.3784505788067676
104,7008,964,522,0.351278600269179
105,7009,901,487,0.35086455331412103
106,7010,1098,609,0.35676625659050965
107,7011,1096,639,0.368299711815562
108,7012,892,483,0.3512727272727273
109,7013,1166,625,0.3489670575097711
110,7015,1350,735,0.35251798561151076
111,7016,770,437,0.3620546810273405
112,7018,873,526,0.3759828448892066
113,7019,1719,916,0.3476280834914611
114,7020,1125,592,0.34478741991846246
115,7021,440,251,0.36324167872648333
116,7022,923,569,0.38136729222520105
117,7023,1501,768,0.3384750991626267
118,7024,934,527,0.3607118412046543
119,7025,999,544,0.3525599481529488
120,7026,1159,659,0.3624862486248625
121,7027,648,361,0.35777998017839446
122,7028,690,366,0.3465909090909091
123,7031,558,296,0.34660421545667447
124,7032,475,216,0.3125904486251809
125,8001,1829,882,0.3253412025082995
126,8002,1959,983,0.3341264445955133
127,8003,1336,651,0.3276295923502768
128,8004,643,299,0.3174097664543524
129,8005,1504,682,0.3119853613906679
130,8006,1682,809,0.32476916900843034
131,8007,1743,828,0.3220536756126021
132,8008,1346,597,0.3072568193515183
133,8009,1740,829,0.3226936551187232
134,8010,930,446,0.3241279069767442
135,8011,1245,658,0.34576983709931686
136,8012,1392,714,0.33903133903133903
137,8014,6,4,0.4
138,8015,106,40,0.273972602739726
139,9001,1351,630,0.31802120141342755
140,9002,1561,767,0.32946735395189003
141,9003,815,384,0.3202668890742285
142,9004,1310,613,0.31877275091003643
143,9005,1147,582,0.3366107576633892
144,9006,1385,671,0.32636186770428016
145,9007,1480,698,0.3204775022956841
146,9008,1612,701,0.3030696065715521
147,9009,1911,832,0.3033175355450237
148,9010,287,127,0.30676328502415456
149,9011,1260,584,0.31670281995661603
150,9012,1368,626,0.3139418254764293
151,9013,1427,688,0.3252955082742317
152,9014,1082,531,0.3292002479851209
153,9015,1117,541,0.32629674306393247
154,9016,962,464,0.32538569424964936
155,9018,1278,551,0.30125751776927284
156,9020,876,399,0.3129411764705882
157,9021,1131,448,0.28372387587080433
158,9022,1707,757,0.307224025974026
159,9024,837,418,0.33306772908366533
160,9025,1133,498,0.30533415082771304
161,9026,1198,548,0.3138602520045819
162,9027,1463,833,0.3628048780487805
163,9028,511,249,0.32763157894736844
164,9029,1252,546,0.303670745272525
165,9030,1263,566,0.30945872061235646
166,9031,1003,489,0.3277479892761394
167,9032,277,118,0.29873417721518986
168,9033,539,264,0.3287671232876712
169,9034,1254,544,0.3025583982202447
170,9035,1586,910,0.3645833333333333
171,9036,987,437,0.3068820224719101
172,9037,1006,443,0.305728088336784
173,9038,185,124,0.40129449838187703
174,9039,63,31,0.32978723404255317
175,9040,930,462,0.33189655172413796
176,9041,866,369,0.2987854251012146
177,10001,602,236,0.28162291169451076
178,10002,972,410,0.29667149059334297
179,10003,876,447,0.3378684807256236
180,10004,593,272,0.31445086705202313
181,10005,639,266,0.29392265193370165
182,10006,590,221,0.2725030826140567
183,10007,1072,538,0.3341614906832298
184,10009,1020,444,0.30327868852459017
185,10010,1001,614,0.3801857585139319
186,10011,623,308,0.3308270676691729
187,10012,1175,521,0.3071933962264151
188,10013,426,167,0.28161888701517707
189,11000,1080,386,0.26330150068212826
190,12001,921,319,0.25725806451612904
191,12002,1049,324,0.2359796067006555
192,12003,1749,618,0.26108998732572875
193,12004,1013,332,0.24684014869888476
194,12005,1369,511,0.27180851063829786
195,13001,982,440,0.30942334739803096
196,13002,1792,802,0.3091750192752506
197,13003,813,445,0.3537360890302067
198,13004,796,514,0.39236641221374047
199,13005,844,400,0.3215434083601286
200,13006,824,540,0.39589442815249265
201,13007,913,554,0.3776414451261077
202,13008,806,426,0.3457792207792208
203,13010,617,307,0.33225108225108224
204,13011,1129,605,0.3489042675893887
205,13013,850,439,0.3405740884406517
206,13014,804,448,0.35782747603833864
207,13015,1525,772,0.33609055289508055
208,13016,882,485,0.3547915142648135
209,13018,849,444,0.3433874709976798
210,13019,944,518,0.3543091655266758
211,13020,569,330,0.3670745272525028
212,13021,1193,683,0.3640724946695096
213,13022,1245,571,0.31442731277533037
214,13023,1137,654,0.36515912897822445
215,13024,754,439,0.36797988264878456
216,13025,1451,684,0.32037470725995315
217,13027,1212,605,0.3329664281783159
218,13028,823,389,0.320957095709571
219,13029,1126,523,0.3171619163129169
220,13030,1149,587,0.3381336405529954
221,13031,790,425,0.3497942386831276
222,13032,1352,625,0.3161355589276682
223,13033,668,354,0.34637964774951074
224,13034,975,523,0.34913217623498
225,13035,1303,550,0.2968159740960604
226,13036,1053,598,0.36220472440944884
227,13037,875,432,0.33052792654934965
228,13038,1882,854,0.3121345029239766
229,13039,804,440,0.3536977491961415
230,13040,987,470,0.3225806451612903
231,13042,658,353,0.34915924826904055
232,13043,996,460,0.3159340659340659
233,13044,930,431,0.316678912564291
234,13045,802,394,0.3294314381270903
235,13046,965,488,0.3358568479008947
236,13047,1083,535,0.33065512978986406
237,13049,495,209,0.296875
238,13050,545,289,0.34652278177458035
239,13051,1486,803,0.3508082131935343
240,13052,910,438,0.3249258160237389
241,13053,766,416,0.35194585448392557
242,13054,905,472,0.3427741466957153
243,13055,733,338,0.31559290382819793
244,13056,1100,506,0.3150684931506849
245,13057,403,188,0.31810490693739424
246,13058,1468,817,0.3575492341356674
247,13059,771,378,0.3289817232375979
248,13060,15,8,0.34782608695652173
249,13061,1650,724,0.3049705139005897
250,13063,478,228,0.32294617563739375
251,13064,1309,547,0.2947198275862069
252,13065,513,279,0.3522727272727273
253,13068,1422,740,0.3422756706753006
254,13069,841,424,0.33517786561264823
255,13070,75,40,0.34782608695652173
256,13071,665,360,0.35121951219512193
